reviewer_name,rating,review_text
Muhammad Bayu Setiono,5,"Coto nya mantap, hanya saja kurang pilihan jenis daging, saya datang jam 10 pagi, tidak ada paru
Tapi rasa tidak usah diragukan
Pelayanan cukup cepat hanya saja mungkin perlu lebih senyum lagi hehe
Pilihan porsi nya ada yg kecil & besar, menandakan bahwa mereka memperhatikan pola pesanan pelanggan, ada yg porsi sedikit tapi ada juga yg butuh porsi besar, nice
Kebersihan perlu diperbaiki lagi"
Abdul Malik Rusman,4,"Sedikit ada perubahan rasa dibandingkan terakhir saya makan tahun 2019 lalu, tapi secara keseluruhan masih cukup enak kok. Untuk tempatnya sekarang jauh lebih bersih."
Andi Erny Ikmar,5,"Pelayanan kurang bagus ketika datang seorang diri, bahkan tawaran untuk minum pun tidak, sehingga saya tidak minum,  jadi habis makan saya langsung memilih untuk keluar. padahal saya makan disana juga bayar bukan makan gratis, saya perhatikan disekeliling saya begitu ramah dilayani karena mereka datangnya bareng keluarga atau teman. Saran saya datang seorang diri atau bersama teman itu pelayanan hrs disamakan karena sama sama pembeli dan sama sama membayar"
harry sulikumala,5,Enak rekomended tapi kalau bisa kurangi sedikit ketumbar soalnya saya jantungan sehingga memicu batuk kejadian saya makan batuk batuk malu di lihatin orang..soal rasa dan banyak uuuum tidak rugi kalau ke sini apa lagi kalau habis bergadang putar slot.... menambah tenaga...
Rahmat Setiawan,5,"Coto yg mantab. Ada dua pilihan, porsi besar harga 18rb dan porsi standar hrg 12rb. Itu belum termasuk ketupat dan minuman. Ketupat 1rb/buah."
fadhlan furqani,4,"Saya personal sudah beberapa kali datang kesini

Tempat nya cukup nyaman dan bersih, tempat parkirnya cukup besar dan gampang dapat untuk parkiran kosong

Makanannya cukup enak dan penyajiannya cukup cepat

Tempatnya indoor tak ber ac tapi tidak banyak nyamuk, dan aroma di tempat makannya pun terjaga

Mejanya makannya cukup besar untuk dipakai makan bersama, tersedia juga ukuran kecil yang bisa digunakan hanya untuk sendiri ataupun berdua"
Dilah Alhamid,5,Baru pertama ke Makasar langsung cus makan Coto disini. Enak cotonya ada porsi kecil dan besar harganya tdk smpai 20 ribu untuk Coto besar dan Coto kecilnya tdk smpai 15 ribu. Peyeknya jg maknyuss ï¿½ï¿½ï¿½ï¿½
Dony Saputra,5,"Waktu kesana ada live musiknya, tempat lumayan luas. Tapi sepertinya susah untuk parkir mobil di jam rame, karena parkir di pinggir jalan, tidak ada lahan parkir sendiri"
Hasrul Gassing,4,"Lumayan enak, potongan daging banyak dan besar. salah satu pilihan kuliner di jalan perintis. tempat bersih dan sudah direnovasi jadi lebih bagus ï¿½ï¿½ï¿½ï¿½"
Muhammad Zul Abrar,2,"Potongan daging nya makin kecil sekali,."
Ahmad Zuhudy,5,Salah satu tempat makan coto terenak di Makassar.
Sri Wahyuningsih Ahmad,3,Mantab. Lumayanlah ganjal perut hahaha
